College,Conf,Coach,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pay,Total Pandemic Reduction,School Buyout As Of 12/1/20
University at Buffalo,MAC,Lance Leipold,624300,0,624300,624300,0,1936725
University of South Alabama,S-Belt,Steve Campbell,617400,0,617400,617400,0,348484
Georgia State University,S-Belt,Shawn Elliott,604800,0,604800,604800,0,625000
Northern Illinois University,MAC,Thomas Hammock,620204,52020,568184,568184,52020,1380693
Ohio University,MAC,Frank Solich,589928,29497,560431,561431,58993,604676
Miami University-Oxford,MAC,Chuck Martin,550000,36667,513333,513333,55000,1500000
University of Southern Mississippi,CUSA,Jay Hopson,500000,0,500000,501000,0,--
Bowling Green State University,MAC,Scot Loeffler,530000,50000,480000,480000,100000,1560417
Eastern Michigan University,MAC,Chris Creighton,480000,20575,459425,459425,41150,800000
University of Akron,MAC,Tom Arth,500000,45833,454167,454167,100000,921719
Ball State University,MAC,Mike Neu,468000,25167,442833,447833,45300,984018
Kent State University,MAC,Sean Lewis,460000,26833,433167,433167,46000,750000
New Mexico State University,INDEP,Doug Martin,429000,0,429000,430000,0,303875
University of Louisiana at Monroe,S-Belt,Matt Viator,390000,0,390000,390000,0,175000
Coastal Carolina University,S-Belt,Jamey Chadwell,375000,56034,318966,319866,56034,758204
Pennsylvania State University,Big Ten,James Franklin,6700000,--,--,--,--,--
University of Memphis,AAC,Ryan Silverfield,1750000,--,--,--,--,--
United States Air Force Academy,MWC,Troy Calhoun,--,--,--,--,--,--
Purdue University,Big Ten,Jeff Brohm,4800000,--,--,--,--,--
