College,Conf,Coach,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pay,Total Pandemic Reduction,Asst Pay Total
Washington State University,Pac-12,Jake Dickert,615000,51250,563750,563750,51250,3632915
Clemson University,ACC,Brandon Streeter,590000,29500,560500,563000,59000,7641500
Florida State University,ACC,John Papuchis,570000,8250,561750,561750,16500,5355750
University of Oregon,Pac-12,Keith Heyward,600000,38750,561250,561250,38750,4770626
University of Georgia,SEC,Cortez Hankton,550000,0,550000,554500,0,7244000
The University of Texas at Austin,Big 12,Coleman Hutzler,600000,47396,552604,552604,81250,6329999
University of Florida,SEC,Brian Johnson,551500,0,551500,551500,0,6300000
University of Georgia,SEC,Scott Cochran,550000,0,550000,550000,0,7244000
Oklahoma State University,Big 12,Joe Bob Clements,550000,0,550000,550000,0,4736875
The University of Alabama,SEC,Charles Huff,550000,0,550000,550000,0,8850000
The University of Alabama,SEC,Karl Scott,550000,0,550000,550000,0,8850000
Oklahoma State University,Big 12,Charlie Dickey,550000,0,550000,550000,0,4736875
Washington State University,Pac-12,Brian Smith,595000,49583,545417,545417,49583,3632915
Ohio State University,Big Ten,Brian Hartline,550000,9167,540833,540833,20625,7859200
Florida State University,ACC,Odell Haggins,550000,9625,540375,540375,16500,5355750
University of Oklahoma,Big 12,Shane Beamer,540000,0,540000,540000,0,6283333
University of Missouri-Columbia,SEC,Curtis Luper,550000,13750,536250,536250,13750,4840875
University of Arizona,Pac-12,Noel Mazzone,600000,65000,535000,535000,65000,3067944
West Virginia University,Big 12,Gerad Parker,551000,17500,533500,533500,26667,3746980
Texas A & M College Station,SEC,Terry Price,533333,0,533333,533333,0,7503197
University of Colorado Boulder,Pac-12,Darrin Chiaverini,550000,17188,532812,533012,27500,3319193
Michigan State University,Big Ten,Ron Burton,552500,20825,531675,531675,35700,5717438
University of Utah,Pac-12,Morgan Scalley,525000,0,525000,525000,0,4255000
Clemson University,ACC,Mike Reed,545000,27250,517750,520250,54500,7641500
Florida State University,ACC,Alex Atkins,520000,0,520000,520000,0,5355750
Florida State University,ACC,Chris Marve,520000,0,520000,520000,0,5355750
Florida State University,ACC,Chris Thomsen,520000,0,520000,520000,0,5355750
Clemson University,ACC,Danny Pearman,545000,27250,517750,519750,54500,7641500
University of Washington,Pac-12,Ikaika Malloe,525012,9188,515824,515824,16813,5059925
Texas A & M College Station,SEC,T.J. Rushing,513461,0,513461,514961,0,7503197
University of Oklahoma,Big 12,Dennis Simmons,510000,0,510000,510000,0,6283333
Ohio State University,Big Ten,Al Washington,515000,8583,506417,507017,8583,7859200
Texas A & M College Station,Big 12,Mark Hagen,550000,43021,506979,506979,73750,6329999
University of South Carolina,SEC,Tracy Rocker,525000,20213,504787,504787,40425,5095792
University of North Carolina at Chapel Hill,ACC,Tommy Thigpen,550000,45833,504167,504167,82500,4868415
University of Iowa,Big Ten,Seth Wallace,560000,56000,504000,504000,56000,4753600
University of Kentucky,SEC,Steven Clinkscale,500000,0,500000,501900,0,5781100
University of Kentucky,SEC,Darin Hinshaw,500000,0,500000,500900,0,5781100
